City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
81,Guerrero Negro,MX,76.84,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
83,Lorengau,PG,81.14,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
88,Xalpatlahuac,MX,84.15,few clouds,17.4667,-98.6167,Hotel Villareal
93,Puerto Ayora,EC,78.76,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
103,Victoria,HK,81.32,clear sky,22.2855,114.1577,Mini Hotel Central
104,Mae Sai,TH,79.68,broken clouds,20.4335,99.8762,Piyaporn Hill Paradise Hotel
106,Hilo,US,78.28,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
107,Salinopolis,BR,81.64,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
110,Puerto Narino,CO,83.66,broken clouds,-3.7703,-70.3831,Eware Refugio Amazonico
113,Harper,LR,79.88,light rain,4.375,-7.7169,Screensaver
117,Pringsewu,ID,73.92,heavy intensity rain,-5.3582,104.9744,Urban Style by Front One
118,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
120,Gat,IL,78.4,overcast clouds,31.61,34.7642,OlusHome
121,Samana,DO,88.02,scattered clouds,19.2056,-69.3369,The Bannister - Hotel & Yacht Club
123,Bikaner,IN,87.87,clear sky,28.0167,73.3,The Laxmi Niwas Palace
124,Chuy,UY,71.04,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
125,Georgetown,MY,81.95,scattered clouds,5.4112,100.3354,Cititel Penang
127,Ca Mau,VN,78.93,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
132,Memari,IN,79.84,clear sky,23.2,88.1167,Kanishka Chandra khan
133,Sao Felix Do Xingu,BR,83.88,few clouds,-6.6447,-51.995,Rio Xingu Camping
134,Havelock,US,86.02,few clouds,34.8791,-76.9013,Sherwood Motel
146,Mogadishu,SO,82.74,broken clouds,2.0371,45.3438,Hotel Juba
147,Buala,SB,80.35,light rain,-8.145,159.5921,Maringe Lagoon Lodge
149,Mankono,CI,81.07,overcast clouds,8.0586,-6.1897,Hôtel cotonputeur
154,Palomares,MX,90.84,overcast clouds,17.15,-95.0667,Hotel Monarca
155,Malindi,KE,80.56,overcast clouds,-3.2175,40.1191,African House Resort
156,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
157,Butaritari,KI,81.01,light rain,3.0707,172.7902,Isles Sunset Lodge
160,Finschhafen,PG,79.97,scattered clouds,-6.6024,147.8681,Cossam Guest House
161,Santa Maria,BR,72.7,broken clouds,-29.6842,-53.8069,Hotel Morotin
162,Bandarbeyla,SO,81.81,clear sky,9.4942,50.8122,JABIR HOTEL
165,Bambous Virieux,MU,76.21,light rain,-20.3428,57.7575,Casa Tia Villa
167,Villa Corona,MX,91.33,clear sky,20.4167,-103.6833,HOTEL GESA
169,Sambava,MG,73.31,broken clouds,-14.2667,50.1667,Melrose
176,Cidreira,BR,72.28,few clouds,-30.1811,-50.2056,Hotel Castelo
177,Nuevo Casas Grandes,MX,79.75,few clouds,30.4167,-107.9167,Hotel Villa Colonial
179,Hasaki,JP,72.28,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
180,Isangel,VU,76.37,overcast clouds,-19.55,169.2667,Tanna Lodge
182,Kavieng,PG,82.96,clear sky,-2.5744,150.7967,Nusa Island Retreat
186,Camopi,GF,78.98,overcast clouds,3.1655,-52.3158,La pousada
197,Healdsburg,US,74.98,clear sky,38.6105,-122.8692,Best Western Dry Creek Inn
199,Taitung,TW,78.87,scattered clouds,22.7583,121.1444,Taitung Bali Suites Hotel
200,Hobyo,SO,84.15,scattered clouds,5.3505,48.5268,Iftin hotel hobyo
207,Vila Velha,BR,84.15,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
209,Nishihara,JP,77.05,overcast clouds,26.1842,127.7558,Minshuku Agaihama
210,Lima,PE,73.38,clear sky,-12.0432,-77.0282,Hotel Kamana
212,Ahuimanu,US,78.51,overcast clouds,21.4447,-157.8378,Paradise Bay Resort
213,Lompoc,US,77.02,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
219,Mecca,SA,85.64,clear sky,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
