City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Banda Aceh,ID,5.5577,95.3222,80.35,84,100,6.08,overcast clouds
305,Norsup,VU,-16.0667,167.3833,79.25,76,94,13.98,overcast clouds
306,Saint-Augustin,CA,51.226,-58.6502,35.26,99,100,6.26,overcast clouds
307,Kidal,ML,18.4411,1.4078,84.78,17,0,9.75,clear sky
308,Lasa,IT,46.6166,10.7002,47.28,94,79,5.41,broken clouds
309,Lai,TD,9.3952,16.2989,92.23,34,88,2.86,overcast clouds
310,Rassvet,RU,46.8333,40.75,65.5,87,99,6.35,overcast clouds
311,Nemuro,JP,43.3236,145.575,41.83,100,100,9.95,light rain
312,Tautira,PF,-17.7333,-149.15,81.46,76,37,22.03,light rain
313,Yeniseysk,RU,58.4497,92.1703,29.34,97,100,1.99,overcast clouds
314,Amuntai,ID,-2.4177,115.2494,72.61,99,100,0.74,moderate rain
315,Mchinji,MW,-13.7984,32.8802,61.45,93,62,4.21,broken clouds
316,Ust-Omchug,RU,61.15,149.6333,14.45,94,100,5.48,overcast clouds
317,Adet,ET,11.2644,37.4888,63.52,56,88,5.19,overcast clouds
318,Cabedelo,BR,-6.9811,-34.8339,84.87,74,28,16.37,scattered clouds
319,Mazarron,ES,37.5992,-1.3149,62.67,62,100,7.63,overcast clouds
320,Meulaboh,ID,4.1363,96.1285,76.64,82,100,3.87,overcast clouds
321,Fortuna,US,40.5982,-124.1573,58.93,58,40,16.11,scattered clouds
322,Port Blair,IN,11.6667,92.75,83.16,76,100,1.99,overcast clouds
323,Yerbogachen,RU,61.2767,108.0108,23.29,97,58,4.03,broken clouds
324,Tual,ID,-5.6667,132.75,83.5,73,97,4.34,overcast clouds
325,Port Hedland,AU,-20.3167,118.5667,77.05,78,100,8.05,overcast clouds
326,Geraldton,AU,-28.7667,114.6,61.21,88,75,11.5,broken clouds
327,Coquimbo,CL,-29.9533,-71.3436,65.93,68,20,9.22,few clouds
328,Ishigaki,JP,24.3448,124.1572,78.93,100,100,8.05,overcast clouds
329,Urumqi,CN,43.801,87.6005,47.35,71,0,6.71,clear sky
330,Langsa,ID,4.4683,97.9683,75.42,97,98,3.15,overcast clouds
331,Abeche,TD,13.8292,20.8324,89.92,19,71,4.56,broken clouds
332,Gobabis,NA,-22.45,18.9667,69.91,33,99,9.24,overcast clouds
333,Port Moresby,PG,-9.4431,147.1797,76.42,94,75,11.5,broken clouds
334,Setermoen,NO,68.861,18.3486,22.96,95,100,3.6,light snow
335,Paita,PE,-5.0892,-81.1144,72.7,72,27,16.42,scattered clouds
336,Touros,BR,-5.1989,-35.4608,81.18,75,7,14.32,clear sky
337,Puerto Del Rosario,ES,28.5004,-13.8627,67.75,77,75,16.11,broken clouds
338,Rawson,AR,-43.3002,-65.1023,63.07,25,100,19.01,overcast clouds
339,Villa Rica,US,33.7321,-84.9191,62.67,88,100,7.61,overcast clouds
340,Alice Springs,AU,-23.7,133.8833,54.95,76,85,0.0,overcast clouds
341,Husavik,IS,66.0449,-17.3389,39.63,95,100,1.19,overcast clouds
342,Panalingaan,PH,8.7842,117.4231,79.0,83,84,2.73,broken clouds
343,Mocuba,MZ,-16.8392,36.9856,69.58,98,96,3.31,light rain
344,Si Satchanalai,TH,17.5169,99.7598,85.71,50,7,2.26,clear sky
345,Bitung,ID,1.4451,125.1824,76.05,83,100,3.4,overcast clouds
